Elevation, Aspect, Slope, Horiz_Dist_Hydro, Vert_Dist_Hydro, Horiz_Dist_Roadways, Hillshade_9am, Hillshade_Noon, Hillshade_3pm, Horiz_Dist_FirePts
1419.7648, 136.4406, 6.3759, 453.8087, 24.2003, 126.7205, 69.8942, 8.6715, 246.2796, 42.813
2214.4034, 17.4693, 29.7943, 101.7799, 222.0905, 637.0421, 206.994, 149.1008, 147.9322, 410.6184
1005.0956, 180.4842, 23.7342, 291.1281, 57.8001, 371.8476, 165.5663, 196.8753, 110.178, 748.8428
1527.1615, 121.4445, 3.9692, 300.0424, 418.6649, 54.8669, 242.6705, 227.843, 110.358, 944.2567
1751.1028, 231.5419, 50.0169, 257.4696, 72.0476, 706.7858, 51.6312, 189.5116, 178.1215, 790.1988
1723.0908, 230.9867, 1.1167, 155.4757, 100.5299, 370.553, 88.9024, 0.0479, 27.3152, 458.251
2296.3707, 137.2266, 18.0484, 423.7055, 374.6031, 552.7451, 212.1497, 42.0569, 201.0522, 26.9954
1932.6788, 296.854, 52.5881, 361.8371, 378.7002, 315.209, 179.9831, 154.7278, 170.8415, 301.1201
2320.2167, 311.206, 27.2035, 483.9108, 229.1167, 979.4362, 69.9241, 97.4558, 121.7871, 514.5326
1197.3416, 181.804, 19.8237, 473.5087, 407.8264, 893.1547, 162.2147, 108.426, 199.9084, 58.8375
1213.0323, 321.1877, 49.5757, 458.0281, 424.7365, 624.1882, 124.9035, 187.8979, 3.6302, 864.5339
925.1852, 203.3255, 53.8572, 449.8306, 4.4443, 88.5716, 210.2449, 157.9842, 45.2734, 565.6789
2344.3783, 119.7533, 21.7823, 252.0533, 140.5058, 364.21, 45.6027, 117.1933, 91.3309, 756.7759
1037.104, 175.116, 7.8666, 106.5552, 240.6319, 492.1223, 231.0678, 69.925, 63.116, 988.6327
901.473, 219.2204, 48.9587, 254.1642, 96.667, 206.7491, 252.5086, 65.6758, 190.7434, 211.37
2317.6021, 150.5343, 10.212, 55.4301, 401.8205, 875.2796, 252.4256, 2.0563, 168.8782, 49.2481
2131.556, 264.8732, 37.8657, 469.9198, 329.1323, 651.9376, 113.2449, 115.6283, 223.3228, 53.2442
1587.7574, 207.5455, 40.4607, 139.1892, 205.8114, 983.2682, 200.5637, 188.2692, 33.6825, 221.2067
1041.8225, 110.3201, 30.7781, 352.4898, 220.7401, 729.4059, 113.6549, 93.6425, 82.4665, 977.9138
1030.1448, 347.2156, 20.3312, 373.6236, 391.4702, 716.9391, 61.6056, 162.7133, 55.246, 172.5702
1190.213, 324.3954, 50.9454, 464.8327, 173.4084, 12.2847, 136.9459, 32.0778, 50.6785, 761.4184
1317.3157, 146.6016, 15.2993, 490.9262, 200.127, 429.5595, 106.2158, 134.5852, 38.3491, 808.5688
1139.3103, 220.9426, 33.9113, 419.8199, 8.9068, 171.002, 179.6159, 59.887, 24.5941, 447.3405
2126.5814, 211.922, 20.7898, 339.1458, 390.3813, 276.413, 28.722, 74.6645, 46.651, 13.9608
943.9328, 280.9746, 46.8498, 181.5137, 342.7094, 44.3244, 163.0536, 13.5206, 154.0588, 790.1125
1164.3772, 39.1823, 59.4384, 131.3585, 247.8151, 423.2734, 99.4576, 109.4713, 217.9703, 593.406
2200.7292, 191.1254, 50.3208, 276.1364, 285.2514, 776.377, 213.4682, 196.4094, 146.7057, 836.3552
1973.3844, 206.9675, 42.842, 355.0567, 75.0418, 444.2254, 177.7733, 123.5072, 244.0714, 963.9615
1205.1702, 172.9685, 53.4704, 254.7257, 387.9034, 295.9207, 205.1635, 155.6562, 75.8141, 284.7815
2054.8664, 139.9051, 32.5214, 47.2756, 374.5694, 419.9709, 202.9461, 249.4665, 168.5099, 865.7202
2137.7966, 264.6929, 14.6972, 371.0542, 267.0882, 297.9481, 243.1226, 192.0441, 126.6744, 180.2385
1207.3252, 71.3389, 10.5074, 114.125, 367.1326, 84.6756, 11.09, 95.5801, 112.2022, 724.7801
937.4231, 139.7912, 5.176, 388.0973, 309.2053, 927.7044, 115.4158, 229.2881, 215.2084, 568.7489
960.616, 340.0444, 40.0185, 424.6575, 121.4485, 862.5706, 223.1376, 203.3696, 246.0818, 327.1418
1614.2123, 306.828, 2.3767, 204.1647, 281.39, 563.5251, 109.0848, 125.6181, 62.2247, 967.9523
1072.0549, 18.3554, 41.1308, 38.4056, 407.7775, 784.9423, 132.025, 123.0476, 23.5051, 142.7995
2210.1238, 250.0226, 14.8389, 95.7711, 48.6224, 447.4221, 104.8872, 90.2914, 187.4002, 891.1367
1747.8356, 207.859, 45.1512, 133.4341, 427.2211, 83.8042, 16.3688, 102.6072, 111.9566, 976.204
1428.2065, 42.2902, 17.9556, 308.3987, 426.3167, 421.1396, 221.6149, 224.4805, 63.8955, 203.0883
1059.222, 33.8585, 4.5885, 487.4023, 311.3636, 720.4604, 8.1696, 25.288, 204.0875, 612.4371
1625.5443, 310.5559, 23.3938, 488.5163, 479.2566, 690.4402, 244.6211, 5.1771, 217.4134, 782.2777
1938.5125, 221.0891, 43.1731, 227.899, 232.6665, 225.3344, 113.4226, 133.5989, 212.1993, 777.8577
1397.3776, 37.5623, 32.0238, 40.5483, 312.6079, 361.669, 105.7017, 242.2924, 72.5125, 816.4397
1164.6698, 60.7124, 52.3131, 10.2063, 114.9498, 999.8503, 71.9513, 151.4118, 2.954, 39.635
1872.0155, 305.0635, 31.851, 410.9453, 88.7285, 472.1853, 147.5896, 188.0147, 219.076, 67.392
2382.7943, 182.4056, 56.6808, 300.6706, 285.3443, 661.8169, 221.3087, 63.8208, 220.3579, 230.5076
2087.616, 160.2059, 38.4394, 48.0895, 144.6053, 370.0378, 46.0213, 78.7104, 193.0271, 605.9782
1945.2641, 345.3969, 2.3078, 42.0015, 464.2771, 102.6824, 99.2181, 7.4817, 214.9238, 603.263
1432.754, 40.0634, 35.6877, 361.4763, 178.9906, 588.3011, 95.6279, 183.2251, 197.6595, 839.3093
1715.3979, 258.5923, 5.6256, 153.0892, 248.3498, 668.1867, 69.7401, 137.0145, 10.3699, 193.8525
2102.9092, 258.7088, 39.5654, 406.4442, 25.6714, 805.7767, 242.7979, 12.3536, 115.3262, 130.0165
1936.8956, 232.4738, 41.3228, 70.3267, 202.3983, 273.3568, 150.165, 195.7607, 31.2564, 802.7161
1854.5963, 266.8662, 56.5359, 251.6818, 29.7925, 88.3049, 94.1375, 67.505, 68.6984, 941.0175
2344.0917, 94.2416, 0.6971, 369.9413, 341.5713, 318.452, 248.5363, 226.7419, 120.6054, 590.8094
2027.8279, 336.103, 1.8911, 45.8253, 497.7696, 363.7203, 113.2338, 2.1891, 81.3678, 229.3383
1369.2049, 262.7084, 0.3653, 421.4851, 151.9413, 984.3804, 220.7082, 252.0615, 145.7781, 529.9859
1855.9345, 77.6858, 21.0927, 186.6634, 98.0663, 998.5227, 31.098, 152.8951, 109.219, 758.8194
1093.3003, 180.7467, 3.7525, 11.4029, 368.9635, 854.2744, 235.9329, 66.2357, 8.7136, 846.8036
989.4871, 100.637, 19.4604, 211.8019, 449.9705, 415.6261, 181.9269, 126.2224, 56.7501, 104.0771
1987.5768, 280.6263, 54.7152, 442.4928, 7.0216, 832.3216, 171.1626, 76.0217, 148.0536, 154.4892
1928.1527, 224.1932, 32.1715, 73.0941, 450.4968, 920.086, 100.6831, 16.7528, 6.3611, 376.8781
1000.8754, 31.3692, 33.9619, 260.0903, 110.3533, 11.6191, 61.5275, 121.2427, 110.6918, 179.7057
2180.7812, 26.7819, 37.5274, 328.7285, 155.6521, 283.4944, 142.4449, 210.1316, 203.5669, 121.1241
2167.9509, 27.2883, 14.6184, 478.9558, 375.8208, 479.7253, 32.8278, 217.8786, 73.8949, 858.9343
1459.8601, 136.7951, 31.8185, 486.5686, 251.5418, 177.7713, 205.5214, 43.1431, 142.12, 393.9339
1641.0823, 43.1657, 13.3425, 486.111, 181.2949, 43.7544, 126.345, 186.3112, 11.3451, 103.6968
2061.689, 29.8537, 3.863, 260.1764, 323.1568, 245.3714, 250.972, 77.2292, 205.1566, 777.8481
1884.9949, 144.0636, 27.8292, 174.2668, 139.8459, 506.2676, 91.8383, 174.0686, 237.2498, 714.5052
2288.2167, 272.9201, 31.4143, 354.9017, 254.1684, 445.4618, 175.3969, 53.9068, 146.6906, 952.9715
2221.8472, 336.5531, 40.3522, 318.0041, 89.4866, 428.8826, 141.2491, 243.721, 142.0527, 760.3435
1330.4453, 227.532, 10.133, 85.5093, 169.6737, 324.4168, 16.6985, 129.8903, 157.0995, 497.9067
969.188, 163.1821, 10.1743, 240.5121, 420.8847, 282.4339, 213.383, 27.7248, 161.2648, 233.6471
1456.6504, 272.5911, 58.684, 139.0158, 365.5714, 24.0156, 153.9308, 126.4198, 16.6443, 784.6213
1079.3136, 33.2941, 35.2165, 432.4614, 341.2691, 500.6843, 248.6838, 28.0045, 205.5117, 940.1628
1131.3766, 71.5579, 0.7708, 136.7437, 153.1094, 162.0161, 202.3686, 251.3335, 192.5693, 184.9317
1463.3616, 230.8489, 55.3094, 476.4793, 71.6735, 228.9985, 228.15, 123.897, 40.0629, 388.7322
1333.2606, 49.5672, 6.5374, 318.0587, 485.1386, 197.3184, 58.5388, 88.8046, 232.9189, 315.0736
1067.7527, 163.6846, 55.6588, 400.7194, 76.7171, 490.0553, 61.4728, 177.7595, 85.874, 907.9601
2341.1977, 142.89, 21.7646, 164.8332, 121.7142, 525.7201, 187.1567, 180.3903, 153.8936, 709.869
1264.2425, 78.7, 9.8416, 433.1566, 231.2932, 75.59, 206.602, 163.0689, 66.532, 334.889
1119.2066, 236.3361, 3.66, 110.3914, 436.9296, 342.3045, 142.7056, 112.1052, 182.3513, 139.2898
2217.8776, 163.7244, 16.7066, 54.5135, 336.8424, 716.3198, 86.1595, 15.2014, 141.4452, 395.2193
2150.5654, 193.6023, 16.7838, 129.5199, 266.2292, 252.7921, 147.7894, 240.6513, 175.9293, 757.7548
1109.5475, 9.3825, 14.9875, 252.114, 111.3078, 981.6221, 20.4373, 180.296, 165.1644, 325.2746
1651.3763, 291.2369, 21.7788, 487.0866, 443.9323, 718.7256, 163.3704, 37.6873, 115.2348, 410.2888
911.6048, 333.0509, 23.2456, 459.4838, 191.4233, 916.1988, 117.1159, 62.6556, 135.8639, 372.8284
2032.6871, 68.8038, 53.0634, 231.8911, 384.3197, 680.1445, 237.5802, 94.1242, 50.6091, 709.7086
2346.1757, 112.0387, 50.9413, 327.1574, 303.6627, 632.871, 204.3429, 76.039, 182.742, 557.0727
1778.6332, 225.9962, 29.5223, 159.5791, 216.3644, 114.4502, 74.9663, 241.8769, 205.1301, 945.2922
1696.3129, 34.4198, 18.9939, 208.9251, 80.9746, 948.8175, 216.4026, 128.9378, 207.4286, 467.4199
1065.7803, 151.8606, 14.4713, 433.783, 92.0606, 861.4452, 226.7963, 138.2916, 150.7627, 485.9252
1790.0437, 133.4769, 15.1225, 64.6456, 26.3574, 676.981, 74.8933, 38.5164, 143.4096, 936.498
965.9383, 121.958, 37.7988, 348.1089, 351.2843, 772.0735, 135.4061, 18.5966, 30.9118, 99.5081
1736.6429, 225.5112, 50.567, 375.7692, 351.3771, 365.03, 13.1096, 182.3228, 199.9902, 134.609
1451.1806, 226.2035, 34.1774, 333.1729, 242.2394, 122.1767, 71.5247, 29.205, 125.07, 525.4464
2363.1139, 0.8088, 20.4768, 142.8623, 347.9084, 111.1807, 92.2031, 181.1509, 238.4291, 1.0875
2155.6433, 333.288, 56.6137, 262.5961, 365.7774, 272.6193, 158.0583, 234.513, 79.779, 708.3358
1276.8888, 283.8438, 0.3068, 85.6928, 84.6782, 579.3452, 24.6582, 70.5494, 117.5786, 952.409
943.8945, 57.0008, 14.3492, 389.6981, 434.2424, 753.4267, 156.9555, 97.0012, 54.751, 328.4932
1568.1587, 1.3367, 15.0008, 295.8311, 56.6182, 485.488, 213.6866, 77.434, 29.6578, 487.5614
1790.2521, 325.4357, 58.247, 352.5901, 310.984, 302.1162, 2.505, 244.9567, 48.7132, 648.7719
2362.0247, 55.579, 56.5454, 299.2391, 454.5828, 632.7338, 96.2948, 77.0629, 193.6813, 648.1077
1287.3946, 45.9779, 15.2932, 119.4448, 125.29, 895.1944, 24.7512, 8.9783, 156.348, 237.1415
1236.8118, 75.4686, 58.6637, 271.9672, 465.6656, 34.689, 78.0308, 214.2823, 234.5438, 283.5336
2275.9487, 307.1321, 56.7155, 7.933, 39.2331, 476.8282, 145.6261, 32.6267, 5.6112, 820.7993
1940.4149, 148.9947, 24.9771, 15.8457, 460.1472, 784.5974, 63.7574, 31.4417, 149.8415, 721.8829
2119.4531, 42.6657, 11.4662, 3.1457, 477.786, 909.9911, 67.9184, 64.1181, 23.7046, 380.1199
1361.4494, 288.4463, 28.8959, 242.9539, 70.0333, 102.3688, 36.2375, 53.7103, 69.1815, 751.3542
1541.186, 184.2083, 8.4379, 16.7769, 321.549, 652.921, 218.3017, 234.8393, 80.0751, 599.5402
2346.2543, 63.4108, 39.8079, 237.6683, 16.194, 422.1822, 157.8446, 110.7095, 86.9936, 780.4407
1190.8111, 245.3578, 46.7767, 476.9281, 202.5478, 797.5177, 30.3519, 111.6916, 250.9993, 957.5132
1196.4511, 316.6643, 0.819, 63.2363, 96.2885, 470.2774, 70.3394, 206.3937, 19.7197, 662.3634
1719.6346, 173.5126, 34.0282, 212.5974, 137.7959, 396.3462, 86.7763, 183.8365, 27.5896, 58.9553
1034.7859, 314.3481, 28.3573, 156.0916, 3.9625, 25.7172, 8.3673, 156.9814, 161.7053, 943.9573
1113.4811, 295.0589, 36.5993, 499.7527, 282.6817, 451.2006, 196.9672, 75.3335, 162.4368, 291.1516
1189.3864, 194.3629, 43.3865, 405.5215, 111.2312, 456.311, 79.1458, 219.4479, 86.1664, 229.8406
1361.7876, 305.2099, 36.1368, 366.8428, 86.7257, 538.7238, 216.4775, 13.4118, 74.5665, 517.8685
1318.3427, 45.7008, 37.7823, 148.8166, 10.5093, 177.5593, 13.7151, 10.6425, 88.2424, 939.6043
2230.4776, 315.705, 38.9237, 316.6831, 87.8697, 807.366, 4.0908, 7.7239, 227.9533, 316.4677
1177.6728, 336.4762, 47.6092, 422.6767, 480.4277, 894.3905, 229.1239, 119.4947, 181.3811, 978.928
1954.5178, 91.7432, 23.2621, 8.8597, 488.1953, 995.0043, 159.8318, 198.8686, 180.4876, 209.1002
2226.2599, 69.7045, 7.5958, 300.4172, 110.3771, 853.6252, 236.0163, 107.0095, 81.1259, 744.9409
2073.7758, 183.937, 32.0594, 162.1277, 13.8338, 187.8354, 83.5252, 214.7626, 213.0421, 441.6008
1161.254, 23.4157, 38.0353, 211.4157, 92.6423, 359.5184, 132.2706, 145.8431, 251.8007, 441.81
1402.8852, 91.7393, 4.4547, 479.7361, 374.8186, 268.6919, 193.3714, 121.0698, 17.1262, 122.49
986.7047, 125.4815, 46.6525, 284.2545, 168.045, 485.3932, 205.6227, 118.1736, 71.5984, 894.4521
1252.2916, 241.7082, 51.3196, 272.1943, 406.7419, 386.7218, 47.4582, 11.8731, 239.5535, 949.5327
2336.8442, 103.5715, 53.6585, 478.1645, 391.1856, 251.2944, 11.5799, 57.3569, 45.1891, 916.4313
1503.4904, 347.1392, 14.8361, 151.7024, 195.3189, 320.4101, 228.1745, 114.0934, 243.5775, 322.5889
1503.4716, 116.9432, 8.2722, 68.6407, 264.6777, 530.7538, 22.399, 115.4742, 215.1681, 812.5156
986.6835, 275.0085, 52.1048, 200.2977, 157.3232, 302.21, 195.1318, 113.8238, 13.0756, 369.0328
1954.2844, 279.3119, 19.4257, 432.4963, 378.1931, 599.1728, 193.4631, 225.3343, 44.4547, 777.0329
1313.6726, 121.8353, 6.8525, 369.7306, 176.8476, 725.5911, 126.4311, 44.7527, 109.5782, 291.8042
1575.7881, 60.8318, 52.1738, 35.1429, 477.6873, 541.9932, 145.049, 121.8028, 161.1487, 786.0781
1882.7698, 151.9845, 21.8084, 55.1605, 474.4564, 164.1002, 85.9417, 208.2016, 206.2511, 490.1971
1430.5604, 152.2629, 44.5154, 58.5262, 382.8499, 702.7408, 175.2245, 158.473, 50.3291, 74.7889
1195.8469, 220.0957, 17.1876, 296.9729, 418.5341, 297.0694, 10.6793, 30.9957, 253.3467, 99.7767
984.1798, 45.6831, 56.8917, 221.9176, 366.6258, 969.188, 128.4566, 106.6861, 228.862, 440.3222
1910.3608, 203.7387, 37.9661, 405.3495, 472.9983, 657.8968, 247.3829, 156.4264, 106.1352, 950.3591
1032.0259, 333.6485, 38.5594, 39.658, 9.5789, 970.3009, 109.4513, 114.7459, 119.4494, 416.8242
2191.2794, 253.0581, 14.2546, 470.6798, 413.5337, 598.3614, 236.0031, 44.9432, 243.9232, 449.7719
940.4394, 152.4898, 21.3462, 29.9658, 143.9214, 187.2945, 202.7737, 245.8469, 48.9229, 830.6057
929.3011, 241.0876, 45.0715, 219.4862, 335.6167, 496.2251, 90.0107, 69.9414, 232.4509, 566.1573
1310.38, 15.4738, 11.9798, 237.071, 307.2052, 569.0375, 215.9201, 43.761, 213.1368, 361.8947
2252.5964, 231.5727, 46.1901, 0.2389, 321.8377, 23.4134, 249.2362, 55.0784, 116.741, 902.8672
1774.7492, 17.849, 9.2393, 355.2004, 133.9761, 485.2128, 216.7356, 55.6939, 236.7734, 513.9533
1479.5196, 150.5609, 37.4786, 336.2733, 433.3944, 238.3545, 210.3352, 182.9673, 82.3461, 837.5369
1852.9458, 88.3308, 41.6122, 247.3401, 325.1148, 750.0487, 70.3775, 111.9293, 75.9158, 821.0119
1739.3244, 113.6775, 4.2719, 463.9741, 441.1126, 368.5966, 212.9634, 130.8501, 169.9086, 830.7156
1608.0017, 330.3728, 4.9489, 234.2156, 249.1394, 5.1076, 221.4334, 176.9374, 234.384, 213.3837
1926.8843, 62.9223, 30.8149, 83.4776, 414.9702, 408.6116, 241.3161, 231.9569, 91.0091, 299.4702
1782.795, 101.6097, 37.7886, 189.5777, 347.4226, 961.5257, 38.3, 241.5162, 161.5648, 201.2922
955.7585, 24.9854, 11.6814, 186.3471, 447.8333, 72.733, 155.864, 251.6996, 237.4348, 897.6667
2132.3665, 1.1449, 4.5925, 216.65, 336.0735, 870.2662, 149.5239, 190.2814, 54.7903, 938.3518
931.6576, 337.4938, 59.3249, 290.0097, 398.9805, 214.4639, 48.8768, 155.6358, 131.2473, 647.1746
2319.2682, 131.8963, 4.0497, 497.4897, 221.164, 113.3604, 45.4874, 238.3992, 153.2436, 281.3125
1385.4547, 0.266, 2.5344, 202.2007, 105.9761, 550.9319, 144.6882, 136.2749, 229.3747, 123.0275
998.1492, 119.0035, 20.9325, 302.0323, 371.0264, 989.7755, 188.6092, 190.8911, 212.8837, 674.5879
1081.3506, 255.5645, 31.5673, 60.2412, 29.57, 415.0544, 151.6053, 168.2673, 198.8843, 810.6114
1584.4354, 355.3357, 55.661, 116.7346, 319.528, 606.4622, 121.097, 107.1074, 102.9887, 56.2536
1651.6444, 344.5015, 11.1003, 339.685, 265.5371, 298.0186, 191.9125, 236.3432, 222.6295, 824.2439
1679.9909, 331.4326, 55.7946, 404.0019, 107.5278, 278.2993, 196.2635, 142.0852, 54.6225, 6.6156
1404.772, 166.1651, 11.8873, 304.7, 279.7346, 140.9696, 109.5606, 107.5273, 69.5815, 404.0441
2216.0452, 209.746, 18.1022, 132.9778, 306.1451, 990.0656, 72.4724, 215.466, 99.6202, 41.1124
2107.8678, 201.6999, 6.1328, 478.5074, 98.1421, 687.337, 206.8634, 3.6621, 234.8791, 991.7827
1570.4538, 21.8421, 48.6719, 429.7949, 405.0239, 279.2363, 137.9409, 17.4511, 115.5832, 286.2288
1859.0692, 37.4888, 10.0861, 146.285, 12.264, 716.0222, 66.8513, 62.1263, 131.4397, 226.4409
1722.5082, 202.2604, 1.7034, 481.0313, 491.4478, 360.3097, 49.8736, 14.9206, 47.8536, 770.264
2338.1215, 289.745, 40.2333, 165.1461, 142.0121, 640.7065, 106.8554, 56.8241, 132.8786, 896.4975
1924.0394, 184.0179, 5.1861, 187.8841, 91.9667, 429.5416, 22.7415, 234.3343, 178.518, 210.2093
1256.5582, 57.2416, 56.7088, 446.1392, 433.0477, 781.8278, 241.405, 13.0653, 51.4856, 738.4987
1890.4629, 148.2812, 3.5992, 10.4683, 197.1172, 863.3711, 252.9633, 206.3652, 185.1588, 481.6557
1720.8196, 9.5656, 59.1696, 391.669, 353.5527, 595.3154, 13.6348, 148.8327, 190.0984, 980.2586
1149.6882, 184.5248, 44.0776, 461.667, 341.8727, 454.4916, 170.7689, 160.3987, 63.3386, 920.5666
1973.1389, 15.2008, 36.3736, 318.3237, 196.5125, 275.9595, 104.0973, 111.1616, 157.8988, 692.074
1930.4701, 317.5259, 23.173, 308.1054, 169.6333, 916.4314, 134.655, 45.0484, 221.6596, 223.9126
1585.8631, 106.9051, 51.0705, 469.7976, 487.8299, 443.3314, 14.1725, 199.9253, 67.4401, 330.6282
2324.8056, 253.8413, 56.3965, 212.0889, 165.8676, 630.6737, 159.5577, 188.7098, 46.6925, 990.5811
2155.0932, 51.2652, 26.5635, 127.4324, 47.9546, 64.4602, 73.157, 217.2326, 28.5854, 337.7977
1921.3822, 172.9465, 32.1629, 302.7408, 208.9429, 9.7598, 71.6777, 156.8817, 152.1168, 874.6382
1869.1156, 194.9719, 30.4198, 56.8569, 255.2003, 370.0104, 48.5985, 248.9015, 174.5065, 290.3619
1678.8619, 117.0088, 5.5668, 497.0947, 250.2324, 905.4828, 215.8026, 190.537, 167.0508, 909.9313
1516.0628, 42.2767, 44.3024, 88.2868, 12.5338, 279.4933, 198.516, 200.0726, 60.4528, 886.6592
1488.9359, 278.3041, 55.6017, 302.5411, 303.2625, 203.1935, 119.9645, 137.2249, 242.7875, 808.1892
2043.5819, 336.2526, 26.7704, 15.252, 326.3607, 766.0855, 41.8221, 84.9705, 252.6571, 2.5186
1669.6137, 104.5765, 51.9948, 320.7977, 492.466, 111.4052, 212.3695, 223.8267, 29.975, 932.1869
2191.0025, 30.8955, 38.1374, 211.8545, 265.6942, 662.9149, 64.5222, 1.1106, 127.4914, 151.3371
1529.1132, 80.1792, 34.7617, 240.4659, 186.0298, 680.2956, 226.7182, 156.971, 54.7041, 201.2075
1481.5865, 131.7694, 23.1007, 412.1119, 383.0817, 640.2167, 204.1295, 150.8784, 29.8309, 941.9597
1149.9922, 14.6229, 0.8942, 250.2579, 214.3803, 763.3715, 164.3177, 4.0446, 26.9808, 397.9494
1488.9078, 229.8092, 17.8501, 466.529, 444.778, 466.5467, 123.1831, 68.3859, 209.52, 543.0617
2161.8196, 200.1995, 58.2785, 28.1213, 356.0212, 973.473, 214.761, 54.5076, 253.6651, 214.1884
2277.2483, 16.0618, 43.7352, 90.7413, 36.8922, 207.2832, 214.8029, 16.8282, 230.8643, 734.0181
998.7066, 86.6347, 46.9999, 262.7587, 155.7436, 177.4595, 61.4154, 82.8357, 100.1674, 896.9199
2261.1119, 304.5584, 49.3171, 148.9128, 286.597, 709.9326, 143.8579, 21.2268, 32.1973, 849.7866
975.4244, 323.2656, 2.6223, 43.4337, 226.6499, 723.3346, 213.5237, 165.876, 55.9815, 537.3697
1433.5492, 186.1757, 6.7512, 370.5203, 62.9803, 578.2988, 146.5524, 223.4524, 250.7866, 811.1191
962.6093, 258.0254, 4.8414, 411.4746, 476.9875, 899.2282, 253.3789, 93.702, 153.5293, 882.1774
976.9491, 248.2586, 36.9433, 83.2449, 100.7287, 846.3589, 219.0665, 100.7709, 177.6587, 471.454
1997.7114, 57.5578, 38.092, 402.5326, 195.4608, 85.572, 234.7788, 49.2049, 52.7718, 39.2186
1693.293, 242.939, 50.7938, 56.8943, 21.5752, 727.7328, 187.3063, 95.8516, 82.3233, 708.1346
1333.8682, 84.0743, 48.2497, 22.418, 124.4935, 679.9649, 97.8138, 197.6472, 155.6196, 599.947
973.5837, 211.501, 11.0888, 393.6124, 213.3012, 137.9199, 139.8327, 80.2122, 48.8809, 38.1327
1203.7864, 152.1024, 51.5015, 291.2357, 49.8372, 148.6425, 204.9737, 248.2406, 74.3477, 505.802
1668.2511, 192.8069, 21.2203, 68.0924, 464.0769, 164.0158, 104.6498, 4.4601, 127.5864, 47.251
959.996, 352.0669, 57.7664, 260.5587, 36.9739, 489.1256, 39.5919, 195.4873, 81.9819, 448.1408
1221.7977, 340.7116, 32.9114, 218.0865, 141.0334, 290.4109, 157.7303, 62.4128, 119.6313, 586.8116
1746.4882, 107.6814, 11.7316, 256.524, 249.9355, 975.5381, 44.77, 63.5498, 179.9845, 709.318
1295.7935, 308.5569, 55.4961, 110.2174, 46.1988, 979.014, 226.9578, 37.2503, 237.6843, 513.1326
1459.7801, 310.4183, 29.6304, 28.0038, 296.4641, 301.2511, 114.1411, 17.2757, 164.5191, 126.9512
